postal_code,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
KY,0.7908705365682785,0.592087956647912,0.029428716126400186,0.8285097922582346,-0.49353837089175057,0.5806190778993316,0.8090796942305617,-0.49715503335919325,0.6809378587831946,-0.4355020502940741,0.8885179310307825,-0.9749635056296222,0.3563146952132838,0.984824138770503,-0.14612582129140178,0.7780777963226851,0.6828350964021697,1.0,0.2862697044890509,0.9675964692705488,0.820010714342254,0.8037855622225326,0.619798167961641,0.8788864498635695,0.8025579399152999,0.2853082554968852,0.910798335525234,0.49364516408798115,0.9531959476537717,0.6564225113014853,0.6952792031804449,0.31863495787025375,0.35121879964684316,-0.02857370316734859,-0.018281512142055457,0.07728873369047037,0.9571636279873812,0.8707934821530094,0.39050025017113077,0.9483513811473903,0.6207777364648909,0.9737682109927667,0.7272024613112383,0.7619852014720991,0.6840863064918797,0.9424351784792423,0.7906236684607811,0.460862152712121,0.29429047500777467,0.9562821137088389,0.7660818674131085
LA,0.22640227479249822,0.4834918550104585,0.10280066547358231,0.34552362224805755,-0.5800353556539161,0.1662136518509469,0.23161500497547455,-0.5758157622477932,0.19493187960927216,-0.6573326217310491,0.254355765549405,-0.2936209435902738,0.8034181815535135,0.2906810396081907,-0.5104480809529418,0.3679191281925861,0.19547500126180167,0.2862697044890509,1.0,0.29585649966753574,0.2347442248726126,0.23009945537001006,0.4618756867748083,0.25159856428187505,0.35669661995900653,0.9966414574190386,0.2607339703599282,0.5799098731534009,0.27287112225500604,0.1879138783302369,0.19903737203184874,0.8984252901893401,0.8150751177809965,-0.09981392623557014,-0.06386114861398014,0.26998572492475,0.2990812606314633,0.3287458052410522,0.7330845610562287,0.30186037599555055,0.46114686090267243,0.2787603380017311,0.39365887729927407,0.3756893230157212,0.4184701575991113,0.30375532559277885,0.2263316039323172,0.6211612361839359,0.9727453954515114,0.2993569579365907,0.21930602979877084
MA,0.7652435388335708,0.6119162021067264,0.030414245050507358,0.856255493452587,-0.5100663205848809,0.5618049697665151,0.7828626554959867,-0.5138041003125903,0.6588730679512665,-0.4500864400863204,0.8597268129489581,-0.9924437824425891,0.36824720483106166,0.9825068569892469,-0.1510193824927483,0.8041345964286767,0.6607088283727541,0.9675964692705488,0.29585649966753574,1.0,0.7934394719615856,0.7777400720571656,0.6405543918829035,0.850407425777717,0.8294345477721016,0.29486285301554815,0.8812852536717092,0.510176690144529,0.9223090334727844,0.6351521042850241,0.6727497021546389,0.3293056227359595,0.36298065443709177,-0.029530598834129396,-0.018893735893680465,0.0798770315364387,0.9892177766098789,0.8999552084036466,0.4035775889772737,0.9801104192353378,0.6415667648445251,0.9422146828444998,0.7515555134874163,0.7875030817821651,0.7069954554584087,0.973996090735764,0.7650046701243808,0.4762958189166973,0.30414587522175873,0.9883067415797419,0.7412581100811124
MD,0.9644636621640372,0.48551846828429984,0.024131862532984827,0.6793869065892275,-0.4047067520702567,0.7080627944783101,0.9866696618464793,-0.4076724540437192,0.8304011726595397,-0.3571163473591599,0.9228972041013823,-0.7994805207089747,0.2921818677524874,0.8075663455346953,-0.11982473910101092,0.6380321295764119,0.83271484684183,0.820010714342254,0.2347442248726126,0.7934394719615856,1.0,0.9802134876582242,0.5082411384582456,0.9330109873346497,0.6581061096109928,0.23395582639774315,0.900320831031575,0.4047943236353846,0.8602750739348565,0.8005047980720766,0.8478903885275955,0.2612840794176008,0.28800317878883686,-0.02343074274566104,-0.014991035830863485,0.06337758972413084,0.784884430328356,0.7140599853448681,0.32021438909365785,0.7776582935021347,0.5090443951263427,0.8421005174385849,0.5963138097712739,0.6248360293773624,0.5609581008581604,0.7728069439260331,0.9641626074300204,0.37791190305877526,0.24132134263524654,0.7841615791751055,0.9342339728177785
ME,0.9839322497675338,0.4759117511194325,0.023654377137145886,0.6659442091771589,-0.3966990169256186,0.7223556943395107,0.9934566000781125,-0.39960603800038114,0.8471635853975105,-0.350050260344688,0.90463628718224,-0.7836615895189573,0.2864006076201597,0.7915874240719702,-0.11745382542193872,0.6254076989700987,0.8495239632248119,0.8037855622225326,0.23009945537001006,0.7777400720571656,0.9802134876582242,1.0,0.4981848188995433,0.9145499539187403,0.6450844849509769,0.22932665655129386,0.8825066217968109,0.3967848557548923,0.8432532305671223,0.816663724944777,0.8650058372010827,0.2561141787554949,0.28230460033726085,-0.022967130065147046,-0.014694415515380102,0.062123568262862326,0.7693543048607963,0.6999312286320737,0.313878463131842,0.7622711480800705,0.4989721819196635,0.8254382851572707,0.5845148392146633,0.6124727035705011,0.5498586964723113,0.7575157897922307,0.983625117966342,0.37043434452479884,0.23654643491086036,0.768645756410811,0.9530923462905077
MI,0.49018010965985903,0.9552915565967857,0.047481127966518155,0.7480879209312455,-0.7962888507961764,0.35986664076558306,0.5014661122190668,-0.8021240769300918,0.42204403736954654,-0.7026513997715255,0.5507017858539466,-0.6357142235404813,0.5748882678777715,0.6293490822995299,-0.23576355795302295,0.7965760890374999,0.42321994176997524,0.619798167961641,0.4618756867748083,0.6405543918829035,0.5082411384582456,0.4981848188995433,1.0,0.5447322114717509,0.7722784077459293,0.46032445761366436,0.564511139741052,0.796461153977681,0.5907891020642679,0.4068494699134402,0.43093277635306926,0.5140947075048049,0.5666664049716583,-0.046101625729744015,-0.029495911874310173,0.12469984211901339,0.6475362726275805,0.7117625254029343,0.6300442149666029,0.6535532928857659,0.9984220302280358,0.6035397531926014,0.852304826972211,0.8133992192554876,0.9060233512640822,0.6576560193368167,0.490027101259104,0.7435681106121688,0.47481662615367426,0.6481331806550469,0.47481613793127736
MN,0.8998551936840604,0.5203780822252584,0.025864499840374634,0.7281660299950433,-0.4337641866645003,0.6606303669711392,0.9205736353725286,-0.4369428223008658,0.774773417986928,-0.38275685089126443,0.9891600598807956,-0.8568822142093588,0.3131601575102228,0.8655485910639547,-0.1284280043081985,0.6838420321277142,0.7769321014201174,0.8788864498635695,0.25159856428187505,0.850407425777717,0.9330109873346497,0.9145499539187403,0.5447322114717509,1.0,0.7053572986219777,0.25075355979042563,0.9649627316860852,0.43385804575760495,0.9220417397145779,0.7468797720153526,0.7910910485516915,0.28004394692501533,0.30868144394695823,-0.02511304053620643,-0.01606737330466886,0.06792802076766835,0.8412381429403637,0.765328592093794,0.34320537854374084,0.8334931785998426,0.5455931409559704,0.9025622729741153,0.639128389553884,0.66969846857039,0.6012341853129298,0.8282935082401607,0.8995743063094335,0.4050455012736382,0.25864791080824656,0.8404633919855916,0.8716505613802878
MO,0.6347194285679455,0.737751042261696,0.03666864990396335,0.9686764687811367,-0.614956685798707,0.4659804510344086,0.6493333326289803,-0.6194631049462446,0.546492085155376,-0.5426425042160021,0.7130871203058693,-0.823167159879503,0.4439737961484606,0.8149251306098648,-0.18207510514047567,0.9694973504402707,0.5480147282703904,0.8025579399152999,0.35669661995900653,0.8294345477721016,0.6581061096109928,0.6450844849509769,0.7722784077459293,0.7053572986219777,1.0,0.3554986391723892,0.7309684358374159,0.615089751825369,0.764994976084623,0.5268170983841477,0.558001844970449,0.39702424214242,0.4376242289546222,-0.03560329011306547,-0.02277905585730651,0.09630299551784043,0.8384751744096574,0.9216398105449763,0.4865695431439421,0.8462664323262776,0.7734989657325008,0.7815054093693619,0.9061058711698567,0.9494457204579115,0.8523824542363592,0.8515789289724361,0.6345213026081615,0.5742415965142147,0.3666906280172537,0.8392480925975535,0.6148250853175302
MS,0.2256418931121811,0.48186802702785786,0.10314708936531795,0.3443631664500094,-0.5780872822134894,0.1656554162236684,0.23083711611887484,-0.5738818604914953,0.1942771925912176,-0.6551249421311104,0.2535015008800943,-0.2926348051485638,0.8007198673804475,0.2897047749591885,-0.5121682197275118,0.3666834561342011,0.19481849014655045,0.2853082554968852,0.9966414574190386,0.29486285301554815,0.23395582639774315,0.22932665655129386,0.46032445761366436,0.25075355979042563,0.3554986391723892,1.0,0.25985828421817125,0.5779622211512953,0.27195467297179793,0.1872827615683112,0.19836889654267711,0.8954078905964267,0.812337653291247,-0.10015028523302066,-0.06407635176983177,0.27089553912790354,0.2980767834824649,0.3276416984558377,0.730622465342476,0.3008465650692645,0.4595980795342542,0.2778241095366691,0.39233675719749106,0.3744275544271604,0.4170647077559531,0.30273515039758175,0.22557145960309322,0.6190750397225695,0.9694783886204534,0.2983515548464536,0.2185694811594301
MT,0.8683267258192823,0.5392727253994553,0.026803625664569904,0.7546053397551575,-0.44951392672604207,0.6374836835472514,0.8883192499072653,-0.45280797688154545,0.7476274738584312,-0.39665454252566945,0.9755374997676044,-0.8879951381253071,0.32453083132343996,0.8969761863772463,-0.13309115480946657,0.7086719617998437,0.7497105229209671,0.910798335525234,0.2607339703599282,0.8812852536717092,0.900320831031575,0.8825066217968109,0.564511139741052,0.9649627316860852,0.7309684358374159,0.25985828421817125,1.0,0.4496111937914143,0.955520570316212,0.7207111450450152,0.7633733792228498,0.2902121892683802,0.3198894981235154,-0.026024881284613204,-0.016650770829868464,0.07039445000013349,0.8717830391962011,0.7931172541311836,0.3556669778780534,0.8637568594420999,0.565403329103345,0.9353338148065706,0.6623347913521294,0.694014853195648,0.6230646693084092,0.8583683918993208,0.8680556799709661,0.41975248159677603,0.26803927479801165,0.870980157458563,0.8411103067852322
