geographic_unit_fips,baseline_dem,baseline_gop,baseline_turnout
48059,0.11271022981784014,0.8716821922871565,0.4662513945704723
48061,0.5994870206824325,0.3832220915508807,0.3282889888439938
48063,0.2867582666715538,0.7027673562838919,0.4522700814901048
48065,0.09230708091313045,0.8896521311720016,0.5394765779634925
48067,0.2065425187589538,0.7831478222182692,0.4518664909969258
48069,0.25353557532661597,0.7325004319557178,0.35627619677917494
48071,0.17781213818994218,0.8045449327297308,0.5263194420347688
48073,0.21453146519402036,0.7719635744352465,0.4293015818628291
48075,0.13361506152866354,0.8568348083043341,0.32691239118355253
48077,0.11621424325212418,0.871757755560099,0.5282228247473503
48079,0.21168100203237838,0.7700911174498739,0.37063318777292575
48081,0.10374113224570934,0.8861945747632833,0.5112316034082107
48083,0.11180820823660571,0.8759422705540449,0.5073755876154968
48085,0.3962549405711094,0.5760942151044921,0.5482701372946277
48087,0.1285934775124346,0.8573585099521813,0.45961820851688695
48089,0.23274359148015047,0.7556435155537109,0.5025745973065752
48091,0.23986714979603135,0.7374114758932813,0.5539618649765579
48093,0.15367417266015557,0.8322383980756063,0.46851513304895387
48095,0.1588133446406581,0.8236279709916698,0.5217622080679406
48097,0.1536278884254506,0.831855526135334,0.5069871436556735
48099,0.29645568213017165,0.677706447635411,0.2835201993237231
48101,0.180340153142126,0.8071761279965071,0.48272884283246975
48103,0.19474780437705067,0.7900271758552595,0.39449886963074604
48105,0.26942384160269933,0.7154803779316941,0.519917864476386
48107,0.2937244835369126,0.6852389026685961,0.34334867942815606
48109,0.5756283814551806,0.40224916860554827,0.5118323191345504
48111,0.13653005833365844,0.8428587227583595,0.27724240177909565
48113,0.60301721149812,0.37149757813564827,0.47162578335875305
48115,0.24324745468394293,0.7436287791595334,0.33084112149532713
48117,0.27411017096821855,0.7124743284744034,0.3658844065166796
48119,0.1778226270346306,0.8059409228527921,0.4793265659816786
48121,0.3857733510855344,0.5863620920372912,0.5041905443512832
48123,0.18222809172761634,0.8057204287434241,0.4044015597118498
48125,0.15275365684354583,0.8343981684059041,0.47345409119300436
48127,0.663034038754,0.3265629431694464,0.41457030681983426
48129,0.12552842469098466,0.856812269329338,0.49613601236476046
48131,0.641219361331552,0.3496215565039708,0.49222733490859344
48133,0.12338795848874015,0.8627056184089613,0.4434508906216468
48135,0.26348342183017254,0.7186563637099168,0.30665248326592875
48137,0.20929966539344588,0.778749383166702,0.4966532797858099
48139,0.27371956966864275,0.7042327372820523,0.4876360119287499
48141,0.6691637204303431,0.3043977600868268,0.38941813114079527
48143,0.16265397417362404,0.817279476705419,0.40575975260123054
48145,0.320020031366288,0.6676385580751281,0.36001233711157377
48147,0.1870953329372826,0.7957048697377573,0.4035877805299107
48149,0.19669476106284822,0.7891170801988115,0.5455825597162824
48151,0.23712259449184322,0.744111629285759,0.501010101010101
48153,0.2301577588293932,0.7577938832514146,0.48005115089514067
48155,0.22860647117315558,0.7541039533628071,0.44763860369609854
48157,0.5034669848809414,0.47795556941628037,0.5245841575395053
48159,0.1561325942159519,0.8269982027855599,0.5136363636363637
48161,0.19957839376514522,0.7871603049908739,0.44886051619989015
48163,0.5228949828579066,0.46422538191275375,0.28113879003558717
48165,0.1202009031935077,0.8645065094518227,0.3497901076838839
48167,0.3600545772813255,0.617194086760279,0.47401851194082867
48169,0.1548081173862863,0.8335156335526746,0.36737629459148446
48171,0.17478532429437277,0.8066390347336586,0.6283496118206862
48173,0.0643099412161949,0.9231407230221712,0.6220472440944882
48175,0.2524321389855411,0.7315905016051627,0.529482967318001
48177,0.25098274001693144,0.7341857274887881,0.4142382884544449
48179,0.1034344506934813,0.8812020214713778,0.39229653080068594
48181,0.23571132445351536,0.7441874516982403,0.44365507356959466
48183,0.2913213495530357,0.6923391045588527,0.4233108624807351
48185,0.23631707099456117,0.7470495610438679,0.4104463437796771
48187,0.3307441028188332,0.6447247164648573,0.46445890106887955
48189,0.24063592930492797,0.7377079601954986,0.33243157942197576
48191,0.17010333505652678,0.8165149495861558,0.45194561650257853
48193,0.14185647989397535,0.8419877070007554,0.5138546798029556
48195,0.07995549271340531,0.9048631499361905,0.5481361426256077
48197,0.16305372034580115,0.8219645892128933,0.39127494081839703
48199,0.130440155885703,0.8583044162195439,0.46980653643876785
48201,0.5285303398434963,0.4500262663407686,0.43720917593734887
48203,0.27628230944990945,0.7100113108539914,0.471116307229796
48205,0.08891728812474717,0.8991798465862587,0.39720998531571217
48207,0.1929068392009316,0.7906667511400225,0.39657631954350925
48209,0.48349442593219016,0.4794462409647835,0.4957052384870472
48211,0.1161449977524176,0.8651238217384413,0.5813458262350937
48213,0.19430631864029052,0.7918295839726267,0.43275962660443407
48215,0.6469185919298001,0.3355577174022796,0.3502222716932303
48217,0.19898203617891663,0.7866396067970567,0.43433652530779754
48219,0.18333710024336028,0.798523858017392,0.3870967741935484
48221,0.1619289950600308,0.8205261543623767,0.5353884464289548
48223,0.19524016315403225,0.790643824291645,0.4547020323802963
48225,0.24525505527015937,0.744187236479586,0.4078348684940628
48227,0.2142072582048306,0.7669641581294125,0.2957509128114593
48229,0.3769276742173665,0.5997901754294225,0.3958891867739053
48231,0.2201713081498768,0.759974160136926,0.4096453287197232
48233,0.11250446236906189,0.8705271776776407,0.43646880957076184
48235,0.12816367809022633,0.8582112530154398,0.6337059329320722
48237,0.09323995943885124,0.8954155746857863,0.4191768565463764
48239,0.17416099971066748,0.8127616142242406,0.46221099669710514
48241,0.20100957588099438,0.7887431605032713,0.44706951385733756
48243,0.3641789708321615,0.601166206484053,0.608355091383812
48245,0.4848715855104155,0.501085990732,0.4272384195871781
48247,0.6961563272048124,0.2938617339013112,0.43931159420289856
48249,0.5104382530340911,0.4787661585918064,0.34187347081440056
48251,0.20682137849295607,0.7731235506314151,0.42474976071121495
48253,0.1693621062423199,0.8125892455769845,0.31323104012073955
48255,0.2700218384669007,0.7176190175321601,0.37488634297144935
48257,0.2788319979845221,0.7035317582393367,0.43595515837824317
48259,0.18743052926183654,0.7909327294153545,0.5926993275696446
48261,0.4229152270782678,0.5645922243692825,0.7215189873417721
48263,0.12538236821763193,0.8583760817695599,0.6794354838709677
48265,0.20681292587553363,0.7742197625775246,0.5526368357970436
48267,0.10953065989304578,0.8774893828043927,0.4928078250863061
48269,0.0408719648495467,0.9475737580622852,0.6105769230769231
